Statement,Link,Date,source,Label
Kyle Rittenhouse’s mother “drove him across state lines and dropped him off in the middle of a riot armed with an assault rifle” in Kenosha.,https://www.politifact.com/factchecks/2021/nov/15/viral-image/kyle-rittenhouses-mother-did-not-bring-him-kenosha/,mber 15^ 2021,Viral image,false
"Children are 50 times more likely to be killed by the Covid vaccines than by the virus itself.",https://www.politifact.com/factchecks/2021/nov/15/viral-image/kids-50-times-more-likely-be-killed-covid-19-vacci/,mber 15^ 2021,Viral image,pants-fire
Over a million people apprehended at the border this year^ "meaning probably another 2 or 3 million have come in illegally.",https://www.politifact.com/factchecks/2021/nov/15/dan-patrick/texas-lt-gov-patrick-half-right-claim-about-people/,mber 15^ 2021,Dan Patrick,half-true
“Wife of Pfizer’s CEO dies after complications from the vaccine.”,https://www.politifact.com/factchecks/2021/nov/15/conservative-beaver/pfizer-ceos-wife-alive-and-well-she-did-not-die-va/,mber 15^ 2021,Conservative Beaver,pants-fire
Video shows irate airline passenger demanding a seat away from an unvaccinated passenger and being asked to leave the airplane.,https://www.politifact.com/factchecks/2021/nov/15/facebook-posts/viral-video-aboard-airplane-fictional-film/,mber 15^ 2021,Facebook posts,false
“The infrastructure bill itself is only 10% true infrastructure.”,https://www.politifact.com/factchecks/2021/nov/15/bob-good/bob-good-spreads-bogus-claim-about-infrastructure-/,mber 15^ 2021,Bob Good,pants-fire
Scam artists are using Amazon to send people face masks laced with “something toxic.”,https://www.politifact.com/factchecks/2021/nov/12/facebook-posts/no-evidence-toxic-masks-are-being-sent-mail-watch-/,mber 12^ 2021,Facebook posts,false
“Iowa ranks 45th in the U.S. for internet connectivity.",https://www.politifact.com/factchecks/2021/nov/12/cindy-axne/iowa-45th-internet-connectivity-axne-says/,mber 12^ 2021,Cindy Axne,true
"Report finds increased risk of spontaneous abortion following COVID-19 vaccination during pregnancy” after correcting “major error” in CDC study.,https://www.politifact.com/factchecks/2021/nov/12/blog-posting/cdc-study-covid-19-vaccination-and-spontaneous-abo/,mber 12^ 2021,Bloggers,false
Says President Joe Biden “is in talks to pay illegal immigrants $450^000.”,https://www.politifact.com/factchecks/2021/nov/12/bryan-steil/steils-claim-biden-admin-will-pay-out-450000-illeg/,mber 12^ 2021,Bryan Steil,half-true
No new COVID-19 cases in Uttar Pradesh^ India^ due to use of ivermectin,https://www.politifact.com/factchecks/2021/nov/12/facebook-posts/no-scientific-basis-claims-ivermectins-success-utt/,mber 12^ 2021,Facebook posts,false
“No governor in Virginia has ever won when...he or she is the same party as the sitting president.”,https://www.politifact.com/factchecks/2021/nov/12/joe-biden/biden-botches-claim-about-virginia-elections/,mber 12^ 2021,Joe Biden,false
"During the AIDS crisis^ can you imagine if gay men and intravenous drug users … had they been pariahs the way the non-vaccinated are? But it would've been inconceivable.",https://www.politifact.com/factchecks/2021/nov/11/dennis-prager/dennis-pragers-pants-fire-claim-it-was-inconcievab/,mber 11^ 2021,Dennis Prager,pants-fire
"There is no added safety to the public if you're vaccinated.",https://www.politifact.com/factchecks/2021/nov/11/viral-image/being-vaccinated-against-covid-19-limits-chance-vi/,mber 11^ 2021,Viral image,pants-fire
The military arrested “bedridden Gavin Newsom.”,https://www.politifact.com/factchecks/2021/nov/11/blog-posting/no-military-didnt-arrest-gov-gavin-newsom/,mber 11^ 2021,Bloggers,pants-fire
“If you’re a low-wage worker and you’re single and don’t have children^ we’re literally taxing you into poverty.",https://www.politifact.com/factchecks/2021/nov/11/gwen-moore/yes-it-possible-low-wage-workers-be-taxed-poverty/,mber 11^ 2021,Gwen Moore,mostly-true
“Gavin Newsom is out of sight likely because he has Guillain-Barre syndrome from his booster shot.”,https://www.politifact.com/factchecks/2021/nov/10/steve-kirsch/claim-about-gavin-newsoms-reaction-covid-19-booste/,mber 10^ 2021,Steve Kirsch,false
"Italy drastically reduced the country’s official COV1D-19 death count by over 97%. This means Covid killed fewer people than an average seasonal flu.”,https://www.politifact.com/factchecks/2021/nov/10/facebook-posts/italy-didnt-lower-its-covid-19-death-toll-over-97-/,mber 10^ 2021,Facebook posts,false
“Sending your child to school” on a day when vaccines are being administered “is implied consent” for getting the COVID-19 vaccine.,https://www.politifact.com/factchecks/2021/nov/10/infowars/schools-arent-giving-kids-covid-19-vaccine-without/,mber 10^ 2021,Infowars,false
Live Nation scheduled the 50^000-person Astroworld music festival at a venue that has a capacity of 20^000.,https://www.politifact.com/factchecks/2021/nov/10/facebook-posts/astroworld-music-festival-venue-has-capacity-20000/,mber 10^ 2021,Facebook posts,false
"Arizona Department of Education gives green light on face mask and vaccine mandates^ as well as implementing Critical (Race) Theory.”,https://www.politifact.com/factchecks/2021/nov/10/instagram-posts/no-ariz-department-education-didnt-give-green-ligh/,mber 10^ 2021,Instagram posts,barely-true
Photos show “diesel generators” at the COP26 climate change conference.,https://www.politifact.com/factchecks/2021/nov/10/tweets/Those-are-not-diesel-generators-at-the-COP26-clim/,mber 10^ 2021,Tweets,false
The Biden administration inherited gains of “50^000 jobs a month. We're now finally back to 500^000 jobs a month. We inherited a country where 4^000 people a day were dying from Covid. That's now down 75%.”,https://www.politifact.com/factchecks/2021/nov/10/ron-klain/ron-klain-exaggerates-improvements-employment-coro/,mber 10^ 2021,Ron Klain,half-true
A banner for COVID-19 vaccines says^ “Don’t forget to donate your childrens organs.”,https://www.politifact.com/factchecks/2021/nov/10/viral-image/no-covid-19-vaccine-banner-didnt-really-encourage-/,mber 10^ 2021,Viral image,false
“Queen Elizabeth d-e-a-d at age 95.”,https://www.politifact.com/factchecks/2021/nov/10/facebook-posts/no-queen-elizabeth-isnt-dead/,mber 10^ 2021,Facebook posts,false
President Joe Biden threatened to “swoop down with Special Forces folks and gather up every gun in America.”,https://www.politifact.com/factchecks/2021/nov/09/facebook-posts/biden-was-describing-misinformation-about-gun-cont/,ember 9^ 2021,Facebook posts,false
“More fraud in New Jersey’s election uncovered – voting machines would not allow citizens to vote for Republican governor candidate.”,https://www.politifact.com/factchecks/2021/nov/09/blog-posting/voting-machine-malfunction-new-jersey-isnt-evidenc/,ember 9^ 2021,Bloggers,barely-true
A crime was committed when a New Jersey election worker allowed someone who said he was not a citizen to fill out a ballot.,https://www.politifact.com/factchecks/2021/nov/09/project-veritas/new-jersey-poll-worker-did-not-commit-crime-when-p/,ember 9^ 2021,Project Veritas,false
Merriam-Webster recently changed its definition of the word “vaccine” and removed the immunity portion.,https://www.politifact.com/factchecks/2021/nov/09/facebook-posts/merriam-webster-didnt-remove-immunity-portion-its-/,ember 9^ 2021,Facebook posts,barely-true
“FUN FACT: West Virginia is home to zero billionaires.”,https://www.politifact.com/factchecks/2021/nov/09/david-gura/west-virginia-home-zero-billionaires/,ember 9^ 2021,David Gura,true
